Accelerometor Data,Action
"[[0.5362560153007507, 2.3365440368652344, 0.7277759909629822], [-4.0602240562438965, -19.5350399017334, -13.98095989227295]]",jumping
"[[-2.6046719551086426, -1.8385920524597168, 0.5745599865913391], [-1.9151999950408936, -0.7277759909629822, 2.1833279132843018]]",jumping
"[[-2.6046719551086426, -1.8385920524597168, 0.5745599865913391], [-3.830399990081787, 0.1149120032787323, -0.4596480131149292]]",jumping
"[[-2.6046719551086426, -1.8385920524597168, 0.5745599865913391], [-3.830399990081787, 0.1149120032787323, -0.4596480131149292]]",jumping
"[[-2.6046719551086426, -1.8385920524597168, 0.5745599865913391], [-3.830399990081787, 0.1149120032787323, -0.4596480131149292]]",jumping
"[[14.057567596435547, 3.9836161136627197, -3.10262393951416], [-3.830399990081787, 0.1149120032787323, -0.4596480131149292]]",jumping
"[[19.5350399017334, 7.890624046325684, -0.7660800218582153], [0.19152000546455383, -7.890624046325684, -1.0725120306015015]]",jumping
"[[19.5350399017334, 4.021920204162598, -4.328351974487305], [0.19152000546455383, -7.890624046325684, -1.0725120306015015]]",jumping
"[[19.5350399017334, 4.021920204162598, -4.328351974487305], [0.19152000546455383, -7.890624046325684, -1.0725120306015015]]",jumping
"[[19.5350399017334, 4.021920204162598, -4.328351974487305], [0.19152000546455383, -7.890624046325684, -1.0725120306015015]]",jumping
"[[19.5350399017334, 4.021920204162598, -4.328351974487305], [-5.477471828460693, -18.76896095275879, -2.2216320037841797]]",jumping
"[[19.5350399017334, 4.021920204162598, -4.328351974487305], [-5.477471828460693, -18.76896095275879, -2.2216320037841797]]",jumping
"[[19.5350399017334, 0.4596480131149292, -4.558176040649414], [-5.477471828460693, -18.76896095275879, -2.2216320037841797]]",jumping
"[[19.5350399017334, 0.4596480131149292, -4.558176040649414], [-5.477471828460693, -18.76896095275879, -2.2216320037841797]]",jumping
"[[19.5350399017334, 0.4596480131149292, -4.558176040649414], [0.19152000546455383, -19.5350399017334, -3.6005759239196777]]",jumping
"[[12.985055923461914, 1.6087679862976074, -0.26812800765037537], [0.19152000546455383, -19.5350399017334, -3.6005759239196777]]",jumping
"[[6.894720077514648, 0.6894720196723938, 0.4596480131149292], [7.009632110595703, -19.5350399017334, -3.6771841049194336]]",jumping
"[[6.894720077514648, 0.6894720196723938, 0.4596480131149292], [7.009632110595703, -19.5350399017334, -3.6771841049194336]]",jumping
"[[6.894720077514648, 0.6894720196723938, 0.4596480131149292], [-5.937119960784912, -19.5350399017334, -6.1669440269470215]]",jumping
"[[0.49795201420783997, 0.7660800218582153, -0.49795201420783997], [-5.937119960784912, -19.5350399017334, -6.1669440269470215]]",jumping
"[[0.49795201420783997, 0.7660800218582153, -0.49795201420783997], [-5.937119960784912, -19.5350399017334, -6.1669440269470215]]",jumping
"[[1.3023359775543213, -8.580096244812012, -4.251743793487549], [5.668992042541504, -1.3023359775543213, -8.273664474487305]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.400864124298096, -1.3023359775543213, -8.350272178649902]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.668992042541504, -1.2257280349731445, -8.19705581665039]]",laying
"[[1.2257280349731445, -8.465184211730957, -4.749695777893066], [5.668992042541504, -1.2257280349731445, -8.19705581665039]]",laying
"[[1.5321600437164307, -8.235360145568848, -4.902912139892578], [5.668992042541504, -1.2257280349731445, -8.19705581665039]]",laying
"[[1.5321600437164307, -8.235360145568848, -4.902912139892578], [5.400864124298096, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.5321600437164307, -8.235360145568848, -4.902912139892578], [5.400864124298096, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.5321600437164307, -8.235360145568848, -4.902912139892578], [5.400864124298096, -1.3023359775543213, -8.4268798828125]]",laying
"[[1.417248010635376, -8.503487586975098, -4.63478422164917], [5.32425594329834, -1.264032006263733, -8.388575553894043]]",laying
"[[1.417248010635376, -8.503487586975098, -4.63478422164917], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.749695777893066], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.749695777893066], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.749695777893066], [5.362559795379639, -1.2257280349731445, -8.388575553894043]]",laying
"[[1.3789440393447876, -8.503487586975098, -4.749695777893066], [5.400864124298096, -1.3406399488449097, -8.350272178649902]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.3406399488449097, -8.350272178649902]]",laying
"[[1.3406399488449097, -8.541791915893555, -4.63478422164917], [5.400864124298096, -1.3406399488449097, -8.350272178649902]]",laying
"[[1.264032006263733, -8.580096244812012, -4.673088073730469], [5.400864124298096, -1.3023359775543213, -8.311967849731445]]",laying
"[[1.3023359775543213, -8.503487586975098, -4.558176040649414], [5.32425594329834, -1.2257280349731445, -8.4268798828125]]",laying
"[[1.264032006263733, -8.618399620056152, -4.558176040649414], [5.32425594329834, -1.2257280349731445, -8.4268798828125]]",laying
"[[1.264032006263733, -8.618399620056152, -4.558176040649414], [5.4391679763793945, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.417248010635376, -8.465184211730957, -4.596479892730713], [5.4391679763793945, -1.3023359775543213, -8.465184211730957]]",laying
"[[1.417248010635376, -8.465184211730957, -4.596479892730713], [5.362559795379639, -1.3023359775543213, -8.541791915893555]]",laying
